Post_ID,Platform,Hashtag,Content_Type,Region,Views,Likes,Shares,Comments,Engagement_Level,engagement_rate,viral
Post_2,Instagram,#Education,Shorts,India,4155940,215240,65860,27239,Medium,7.4192,0
Post_6,Instagram,#Challenge,Shorts,Australia,1323566,136282,86979,47129,Low,20.4289,0
Post_11,Instagram,#Comedy,Live Stream,Germany,4070332,379894,46012,25242,High,11.0838,0
Post_27,Instagram,#Gaming,Video,India,4369260,212278,21264,18172,Low,5.761,0
Post_29,Instagram,#Gaming,Live Stream,Canada,1653907,91836,77370,2823,Low,10.4014,0
Post_31,Instagram,#Comedy,Reel,Australia,1365655,156164,84930,18303,Low,18.9943,0
Post_37,Instagram,#Music,Reel,Germany,48908,205884,37256,14618,Low,527.0263,1
Post_38,Instagram,#Dance,Video,India,1367820,10794,7617,36639,Medium,4.0247,0
Post_46,Instagram,#Gaming,Tweet,Brazil,272327,274271,56073,17526,High,127.7398,1
Post_47,Instagram,#Tech,Reel,Japan,1600237,325368,62818,25686,Medium,25.8632,0
Post_48,Instagram,#Dance,Live Stream,India,2212857,74624,24137,35546,Medium,6.0694,0
Post_50,Instagram,#Fashion,Reel,Japan,2747788,422463,21545,40997,Low,17.6507,0
Post_57,Instagram,#Challenge,Live Stream,Australia,2824818,34126,53516,29452,Low,4.1452,0
Post_64,Instagram,#Gaming,Shorts,Canada,1142030,212596,72334,18,High,24.951,0
Post_72,Instagram,#Education,Tweet,Australia,1419701,68719,98115,36515,Low,14.3234,0
Post_76,Instagram,#Dance,Tweet,India,1796369,145118,68421,16720,High,12.818,0
Post_79,Instagram,#Challenge,Reel,USA,4219632,171996,5043,3436,Medium,4.277,0
Post_81,Instagram,#Challenge,Shorts,India,4290853,211176,66264,14337,Medium,6.8,0
Post_82,Instagram,#Dance,Live Stream,Australia,284772,338933,22771,18899,Low,133.6518,1
Post_83,Instagram,#Gaming,Live Stream,Japan,4637078,219517,5831,32657,Low,5.564,0
Post_84,Instagram,#Comedy,Shorts,Brazil,3315125,62336,79392,42892,High,5.569,0
Post_99,Instagram,#Viral,Reel,Germany,965073,263310,39207,27324,High,34.1778,0
Post_104,Instagram,#Music,Tweet,India,3588997,241125,65026,30917,Medium,9.3917,0
Post_105,Instagram,#Fitness,Post,Japan,13562,11483,33641,30457,Medium,557.2998,1
Post_109,Instagram,#Fitness,Video,USA,4844012,452777,44862,23870,High,10.7661,0
Post_112,Instagram,#Dance,Video,Brazil,1994041,310266,87995,40217,Medium,21.9894,0
Post_115,Instagram,#Education,Tweet,Canada,1599554,364748,16705,8949,High,24.4069,0
Post_121,Instagram,#Comedy,Shorts,Australia,2484315,101605,80028,36281,High,8.7716,0
Post_124,Instagram,#Music,Post,USA,4646060,21362,31562,19778,Medium,1.5648,0
Post_126,Instagram,#Fashion,Video,Japan,962137,319381,69098,38387,Low,44.3664,1
Post_129,Instagram,#Comedy,Post,UK,1029488,449148,87211,35005,High,55.4998,1
Post_137,Instagram,#Fashion,Tweet,Canada,1438248,223413,84930,42774,Low,24.4128,0
Post_138,Instagram,#Fashion,Live Stream,Brazil,4027409,80497,44156,14597,Medium,3.4576,0
Post_139,Instagram,#Music,Video,India,3488909,443844,19877,22056,Low,13.9235,0
Post_143,Instagram,#Challenge,Tweet,USA,4283565,107901,84854,4738,Low,4.6105,0
Post_146,Instagram,#Education,Reel,Canada,964498,194879,76029,34998,High,31.7166,0
Post_149,Instagram,#Gaming,Video,Brazil,1292958,95304,3716,44880,Low,11.1295,0
Post_150,Instagram,#Viral,Reel,UK,4103477,75909,5645,4052,Low,2.0862,0
Post_152,Instagram,#Fashion,Reel,USA,4593170,34210,33344,11022,Low,1.7107,0
Post_154,Instagram,#Tech,Shorts,Canada,41081,319140,6541,23057,Low,848.9034,1
Post_162,Instagram,#Challenge,Video,Brazil,3201846,335416,50986,16715,High,12.5901,0
Post_167,Instagram,#Fashion,Video,USA,2252593,61466,13181,29007,High,4.6015,0
Post_171,Instagram,#Music,Live Stream,Australia,1630617,435112,71742,49750,High,34.1346,0
Post_172,Instagram,#Education,Live Stream,USA,4709770,389553,55435,16799,Medium,9.8049,0
Post_173,Instagram,#Fitness,Tweet,Australia,2275387,271817,72208,27046,High,16.308,0
Post_180,Instagram,#Fitness,Tweet,Canada,4888613,414422,11933,23903,High,9.2103,0
Post_182,Instagram,#Tech,Reel,UK,4003071,22251,13517,13392,Low,1.2281,0
Post_183,Instagram,#Dance,Video,Germany,681752,197632,98860,19379,High,46.3322,1
Post_184,Instagram,#Gaming,Shorts,Germany,4684548,122401,82864,42106,Low,5.2806,0
Post_185,Instagram,#Tech,Video,UK,3916842,292224,72417,38211,High,10.2851,0
Post_193,Instagram,#Comedy,Shorts,UK,4236960,259668,86293,16169,Low,8.5469,0
Post_197,Instagram,#Fashion,Reel,India,907575,42770,5219,47956,Low,10.5716,0
Post_205,Instagram,#Viral,Post,USA,741152,226355,58251,46227,High,44.6377,1
Post_212,Instagram,#Dance,Tweet,India,4764800,52536,65976,47528,Medium,3.4847,0
Post_214,Instagram,#Viral,Shorts,Japan,4316287,188239,34891,39029,Medium,6.0737,0
Post_222,Instagram,#Music,Reel,UK,4422912,199110,95413,32057,Low,7.3838,0
Post_223,Instagram,#Tech,Post,UK,4326885,300734,1870,1496,Medium,7.0282,0
Post_226,Instagram,#Education,Video,USA,2710672,252420,23167,5670,Low,10.3759,0
Post_230,Instagram,#Challenge,Shorts,Australia,1498512,205870,16834,34865,Medium,17.1883,0
Post_231,Instagram,#Dance,Video,Germany,4300552,428951,18627,12148,Low,10.6899,0
Post_236,Instagram,#Fitness,Reel,Brazil,4708687,133736,49028,3765,Medium,3.9614,0
Post_243,Instagram,#Fashion,Shorts,UK,2801638,111973,60593,35663,Medium,7.4324,0
Post_252,Instagram,#Fashion,Tweet,Germany,4080585,203708,22677,23693,Medium,6.1285,0
Post_258,Instagram,#Fitness,Post,Australia,2787914,198350,96753,45466,Medium,12.2159,0
Post_259,Instagram,#Comedy,Tweet,USA,893271,69359,66059,43386,Medium,20.0168,0
Post_264,Instagram,#Music,Tweet,Canada,4588770,448601,52948,32818,Medium,11.6451,0
Post_265,Instagram,#Tech,Video,Canada,485489,265199,14446,34447,Low,64.696,1
Post_269,Instagram,#Dance,Shorts,Japan,242459,366128,20712,22677,Medium,168.9015,1
Post_273,Instagram,#Viral,Reel,Canada,4675636,328475,4510,45120,Low,8.0867,0
Post_279,Instagram,#Dance,Tweet,Germany,734933,421895,50675,12150,Medium,65.9543,1
Post_284,Instagram,#Fitness,Tweet,India,1966067,136472,63614,18304,Medium,11.108,0
Post_291,Instagram,#Education,Video,UK,495496,300566,97031,48197,Low,89.9692,1
Post_295,Instagram,#Tech,Reel,Canada,70424,392371,44740,10705,Low,635.8855,1
Post_298,Instagram,#Comedy,Reel,Germany,1853392,232747,87334,27858,Medium,18.7731,0
Post_301,Instagram,#Education,Live Stream,Brazil,340950,127995,30856,14353,High,50.8004,1
Post_308,Instagram,#Education,Video,India,1333000,426321,26174,27048,Medium,35.9747,0
Post_309,Instagram,#Challenge,Post,UK,543708,19494,13359,8753,Low,7.6523,0
Post_317,Instagram,#Dance,Video,Canada,567122,489613,6414,13429,Low,89.8318,1
Post_329,Instagram,#Tech,Video,Canada,3502729,423463,33243,17585,Medium,13.5406,0
Post_335,Instagram,#Viral,Video,Canada,4096574,225112,53015,15291,Low,7.1625,0
Post_339,Instagram,#Education,Video,Canada,961039,320162,73066,32,Low,40.9203,1
Post_342,Instagram,#Viral,Tweet,UK,3850711,419814,14656,45277,Low,12.4587,0
Post_344,Instagram,#Challenge,Video,Canada,121735,293092,98179,41884,Low,355.818,1
Post_345,Instagram,#Music,Reel,Australia,423362,110690,51877,22816,High,43.7883,1
Post_359,Instagram,#Tech,Post,Brazil,3573199,332761,15013,41115,Low,10.8835,0
Post_363,Instagram,#Challenge,Post,Japan,258238,465551,15136,48715,Low,205.0055,1
Post_366,Instagram,#Music,Tweet,Australia,1568970,253002,46733,33534,Medium,21.2413,0
Post_367,Instagram,#Education,Live Stream,UK,464742,267582,36900,25379,High,70.9772,1
Post_369,Instagram,#Dance,Tweet,UK,2177286,201616,27274,22357,High,11.5395,0
Post_371,Instagram,#Gaming,Video,India,4659521,103924,29063,38288,Medium,3.6758,0
Post_374,Instagram,#Viral,Tweet,USA,3031527,384860,45831,37574,High,15.4465,0
Post_375,Instagram,#Challenge,Tweet,Germany,4655360,225104,99715,47565,Low,7.999,0
Post_382,Instagram,#Dance,Shorts,USA,871802,491525,45339,23004,Medium,64.2196,1
Post_388,Instagram,#Tech,Post,Japan,665740,389852,99285,3432,Medium,73.9882,1
Post_389,Instagram,#Fitness,Shorts,Japan,4582997,440332,73379,85,Low,11.2109,0
Post_392,Instagram,#Music,Shorts,Canada,2267018,137209,75303,31685,Low,10.7717,0
Post_396,Instagram,#Fashion,Live Stream,Canada,4151557,244562,87770,44396,Low,9.0744,0
Post_400,Instagram,#Education,Shorts,Brazil,378823,448944,80149,42580,Low,150.9077,1
Post_403,Instagram,#Challenge,Live Stream,Australia,901819,73906,1462,12876,Low,9.7851,0
